# schema: gororoba-kernel-toolchain-prefix-tree-v1
relative_path	entry_type	mode	size	identity_sha256	link_target	resolved_path	resolved_sha256
bin/llvm-cxxdump	regular	0755	59616	45d5b37b5ba11d685133577ae34331479f3a9f88e00fd0fda16f8c3079c6a464	-	-	-
bin/llvm-cxxfilt	regular	0755	25656	488c89f767fa7790adebe2f87792218a4b57ce1a7113e1873f9b8eb5d6ff154a	-	-	-
bin/llvm-cxxmap	regular	0755	26616	e5305f4eb922fe6f8bae43919ecef909c6c857406b4c023e82a1c53342c7dded	-	-	-
bin/llvm-debuginfo-analyzer	regular	0755	139752	8f3441f85ed4597ab04da9a87d967bc3ad626c86d1779b014d900ebabc910e69	-	-	-
bin/llvm-debuginfod	regular	0755	27840	7850fd75aa14ad0ea06198e8e10bc8159fe1b6de0dfbd64c720a54db4121f674	-	-	-
bin/llvm-debuginfod-find	regular	0755	56344	10872f858c34dc110999fec5fbcde3d9cec6ced637ab048a51fc41b7f7e2dc41	-	-	-
bin/llvm-diff	regular	0755	53976	3c3f8672659918ffa16ce948d5cb4a0ce03a45c8240feba08dff4a7924b6b9cb	-	-	-
bin/llvm-dis	regular	0755	37528	f205ad1177856f7e5bf5a8704ff2c638c28012a04220d7e2af16a62c6fc69832	-	-	-
bin/llvm-dlltool	symlink	0777	7	9e1caa457dc7de6b0b0d6432441e0609595141c57d4e2bf103342fa0960a6933	llvm-ar	bin/llvm-ar	57d97acb73f77829269328e2de5d951624689ffbbf3ae43f08ee1801b95024e9
bin/llvm-dwarfdump	regular	0755	194440	ec7db252a750737de302bbc749b68c620e10a21abf4b18530e8a45f2494c8c57	-	-	-
bin/llvm-dwarfutil	regular	0755	257240	e79ca3038409c00c4087c274bcc3eecf0e244dff90df2f37e8915d4fecf70d79	-	-	-
bin/llvm-dwp	regular	0755	53304	af15648754960a663aba0ff5fa1bd149bb37c00c6c15d79a540aa948370ee6da	-	-	-
bin/llvm-extract	regular	0755	65560	d2ed0724c27a36cbfa07a50ed8b1e7e9830389daacba970e41b394b1d4cd2994	-	-	-
bin/llvm-gsymutil	regular	0755	72064	f42f15465f957a76ab0e0fa76a89a47ecb24f6c677662993bf435108537c447f	-	-	-
bin/llvm-ifs	regular	0755	60000	674557da721fc4f5e0f55e65299c9d83722c3510860b2a9bc2429d31b810ee9e	-	-	-
bin/llvm-install-name-tool	symlink	0777	12	be26604cd7208b10a47908f09c1d8b533686cbe619573052f2e132bd552b2155	llvm-objcopy	bin/llvm-objcopy	3dc11d698a2990f7fb3c5544e8492f4b5ee77c07f6505bf7ecca0a7d8501d3b0
bin/llvm-ir2vec	regular	0755	75880	b9f7fd10dc00ebb1e1226ebe1506c20ecef4fb511d5af2b65c9948a954da5d14	-	-	-
bin/llvm-jitlink	regular	0755	332088	99797c67d36941064d3275e59a6489a2a05de82c37c9000dbd83a39770771e5a	-	-	-
bin/llvm-jitlink-executor	regular	0755	1618544	369f248a92e9bb38a0517437e4cbf37f714fd68354a700176e45a750239a8116	-	-	-
bin/llvm-lib	symlink	0777	7	9e1caa457dc7de6b0b0d6432441e0609595141c57d4e2bf103342fa0960a6933	llvm-ar	bin/llvm-ar	57d97acb73f77829269328e2de5d951624689ffbbf3ae43f08ee1801b95024e9
bin/llvm-libtool-darwin	regular	0755	85544	9e2146be81d6f50c5257c6b497dc259414e9d9744b0d8b75247944caebe75581	-	-	-
bin/llvm-link	regular	0755	52272	7dbdfd2193c73e2eda8ba80e60d38bbe82002fbac0832d703452f23697f4e0b0	-	-	-
bin/llvm-lipo	regular	0755	75952	2b413333f5d0876a45307f14821c7d832049c9e73082055857d8fe9e22b98672	-	-	-
bin/llvm-lto	regular	0755	128728	4d3c47e74493ff902d18471f010533d031592b9a661f9cf47a452c510ff7a0e5	-	-	-
bin/llvm-lto2	regular	0755	120624	44840a02a9e3d1c6b3e9bafd45452e9d888690b0e2e779ed9f189446eac3f874	-	-	-
bin/llvm-mc	regular	0755	86024	213eb37af8958affd46c0678e70bbaeb3169a79ca97d17de1cfe6a6b02907fd8	-	-	-
bin/llvm-mca	regular	0755	236344	be37a9620608edeb0f89f22ed2c9f85ede78dcc54bcdd0c4f94a548c39787615	-	-	-
bin/llvm-ml	regular	0755	53624	340781d81fd671c4f73c87819872b734754e8364f76e12d89bbd5ab6e9049a9e	-	-	-
bin/llvm-ml64	symlink	0777	7	c16236693e23740e5d5bd633d73933c3e897cbabfb5a12515211b2d3652a00a3	llvm-ml	bin/llvm-ml	340781d81fd671c4f73c87819872b734754e8364f76e12d89bbd5ab6e9049a9e
bin/llvm-modextract	regular	0755	17752	366d7019c6b2055adf51dc875471178399f72ce584125191a1666be30497a77f	-	-	-
bin/llvm-mt	regular	0755	22304	ab3802b538a01ce61abaf0759ec538b5baf7bc4eb36238492799de256278cfbc	-	-	-
bin/llvm-nm	regular	0755	145304	5cc53b78a7432727f8f83a75a068d033c848bcc3ca1e44acd3226fd0ca53b99c	-	-	-
bin/llvm-objcopy	regular	0755	195408	3dc11d698a2990f7fb3c5544e8492f4b5ee77c07f6505bf7ecca0a7d8501d3b0	-	-	-
bin/llvm-objdump	regular	0755	799608	196257bba7b9fc07f6fdfe7e348abf7e84088b9c40a07cf8f2b37e16c7b5467e	-	-	-
bin/llvm-offload-binary	regular	0755	42984	ef00f3bbbf81bc09cd1fe5d096318ecc72f3dc03e027f557f929645d0e80e9af	-	-	-
bin/llvm-offload-wrapper	regular	0755	33504	c294b4f25c3bca1936dc390293c3a07331d6b8cdcb3baf44f0badb8482b515bb	-	-	-
bin/llvm-opt-report	regular	0755	48664	e7fbd9219f04d017a20694e7dec6c4ab21106003cd80711ee49a59f1373d7f37	-	-	-
bin/llvm-otool	symlink	0777	12	dff2e387a463933453061e70f3440dce1ca845bf4d56400ab9613b91e1ff0f08	llvm-objdump	bin/llvm-objdump	196257bba7b9fc07f6fdfe7e348abf7e84088b9c40a07cf8f2b37e16c7b5467e
bin/llvm-pdbutil	regular	0755	789200	51411962d12ab3656f2d7296d3f70de0b1358a1e7c9e3ec59f1c2793c15dcd00	-	-	-
bin/llvm-profdata	regular	0755	369736	ad3575f5378ffa7acc8ece2d79e840016edd5c41bda143029b4220db3159dfd4	-	-	-
bin/llvm-profgen	regular	0755	344752	678cbc2cfab76bed4fef44520542185137c0385012c15fc6f510d83004c31009	-	-	-
bin/llvm-ranlib	symlink	0777	7	9e1caa457dc7de6b0b0d6432441e0609595141c57d4e2bf103342fa0960a6933	llvm-ar	bin/llvm-ar	57d97acb73f77829269328e2de5d951624689ffbbf3ae43f08ee1801b95024e9
bin/llvm-rc	regular	0755	183112	b873ecc07097933b88c890f8103c9e5b27c489b74ed0ce04b6a8125c61b1fe5a	-	-	-
bin/llvm-readelf	symlink	0777	12	300c7d1bd7e55d1292e4b4da0ff234b59ba020ac5b5b8f77d384918b830eddef	llvm-readobj	bin/llvm-readobj	52f46d57b59ba60521f4dc4887f026f4187afd1984514d7dcca8b71446615e75
bin/llvm-readobj	regular	0755	1819144	52f46d57b59ba60521f4dc4887f026f4187afd1984514d7dcca8b71446615e75	-	-	-
bin/llvm-readtapi	regular	0755	113968	cc3ebc6c63fec38d6ba609c9979b000b1d625e1eb88ea411103b4b7ad3389976	-	-	-
bin/llvm-reduce	regular	0755	305800	fdf0d03ea3000e2e60ed4db31b0a23a447f0061d795a9dd3b18fddcd6de1ae51	-	-	-
bin/llvm-remarkutil	regular	0755	196504	a31f39618b546d259384f083b242eab00fb6ec0e25500d63057104adea9ea73a	-	-	-
bin/llvm-rtdyld	regular	0755	102464	3f916290d95a2f212daf733563bfc5d18d78f87d268e4d8f01b140f9ccea8305	-	-	-
bin/llvm-sim	regular	0755	22408	d862a9de10efe369d70b2b94977914071df104d61ee0645f45778752cadc1364	-	-	-
bin/llvm-size	regular	0755	58592	4e336ab8405e91f9db3d6b0337e450e720c7874b4dc7005bc7c1e32d1814160f	-	-	-
bin/llvm-split	regular	0755	52488	550ee5f8e813b8634bfdeec84825455f03827ea7eb28a4fb551c0690659907f8	-	-	-
bin/llvm-stress	regular	0755	48104	2bb96c2d53a744ce5321b35cb24da81c2576f5638bb69c1fa612674ee8016d57	-	-	-
bin/llvm-strings	regular	0755	24208	0f3d244930e3fda894c1f881d2aec992dc3e831a23ddfff44f15e60df08afac2	-	-	-
bin/llvm-strip	symlink	0777	12	be26604cd7208b10a47908f09c1d8b533686cbe619573052f2e132bd552b2155	llvm-objcopy	bin/llvm-objcopy	3dc11d698a2990f7fb3c5544e8492f4b5ee77c07f6505bf7ecca0a7d8501d3b0
bin/llvm-symbolizer	regular	0755	89120	b9928cc84babef75c78af3ee51a2b03246b858fb6617421da127d2f577fba509	-	-	-
bin/llvm-tblgen	regular	0755	4893392	08d087fc19cf23d2427e0fd29729b1cf2247fd0ccb8392ba340a57cd3ffc26f5	-	-	-
bin/llvm-test-mustache-spec	regular	0755	389552	84d42e6d26369bc5e553637718b190f0f9816d21917350efa9b7b2847357884a	-	-	-
bin/llvm-tli-checker	regular	0755	34328	a9d597c14f642d0ca5f48fb369f992e8b65b49b1110b6776e4b5b52d98631317	-	-	-
bin/llvm-undname	regular	0755	22616	cd834f4b791ec8709f37d0a348d702665bc7766fac85e4d41bff29807237dfb2	-	-	-
bin/llvm-windres	symlink	0777	7	69bb5822d69db5a13a27166ee32b599b545955260b3b011b6af099151553f2e9	llvm-rc	bin/llvm-rc	b873ecc07097933b88c890f8103c9e5b27c489b74ed0ce04b6a8125c61b1fe5a
bin/llvm-xray	regular	0755	346008	3dc742c233120951abaa4a0bdfb53e9df7ca7b3b1b84c084941e14c40759b1d9	-	-	-
bin/modularize	regular	0755	213944	f5905715579a8a0f21706eba1958c74c8f8cfc37185247ba4e9800823eb4aaff	-	-	-
bin/not	regular	0755	109920	681afb1c1de43375cbf8732fe667b92882a348e07d39d0269e474ecd3a9866cf	-	-	-
bin/nvptx-arch	regular	0755	49760	c8e207ffb67849bbf11d57a2b2296950fbfa21bc4f854224304c4305c7738642	-	-	-
bin/obj2yaml	regular	0755	7409816	e8b8763dfa2ef6cade199ae810a8b6569a763cc798decfd1d75408a3e4b4d470	-	-	-
bin/offload-arch	regular	0755	49760	c8e207ffb67849bbf11d57a2b2296950fbfa21bc4f854224304c4305c7738642	-	-	-
bin/opt	regular	0755	227120	3660bccfacbb993c5522138c9df1c3c5e16bdcdb73aa58171268fb5c0df7261d	-	-	-
bin/pp-trace	regular	0755	61024	0aa5875f047cb10fcdb649462ffd56756ef95f9479e4026621611dc6678c209f	-	-	-
bin/reduce-chunk-list	regular	0755	19152	261d0cd25a3fdd7a68011d8f4baeaaa34b72648ba8335857c2a8ec8e4ea55d8c	-	-	-
bin/run-clang-tidy	regular	0755	26285	a651a6529eefbd12b7845afe6719773ba6578ecca222603d1262b4d2d48e1422	-	-	-
bin/sancov	regular	0755	113304	a75cc070d135375a4cfc282fa0c2a14599eba791a31de644a016361103379dfb	-	-	-
bin/sanstats	regular	0755	18248	80de06312bc7309f4a07676b8c4ade10edffbfce7aa8eb247aa2b50b8d1456b3	-	-	-
bin/scan-build	regular	0755	57304	32df48098c0438b18ac2ca406e38983feecf5af40454f7a213ef1563fae019a8	-	-	-
bin/scan-build-py	regular	0755	551	be51a886754ac1780eabb929e80eea0239c2dfe1655de4c533ec2e537b128a73	-	-	-
bin/scan-view	regular	0755	4691	9423d10c4e3dfade5682d67404d57768d9c76754f1e4ef1911ef865ee6c1a10a	-	-	-
bin/split-file	regular	0755	330824	0401f2bbd6e0d85da57f6f53a25e3570c313a38b87715460dd07a4c8ab0d103d	-	-	-
bin/verify-uselistorder	regular	0755	35896	df4ebb6c3610d08abec9ba57924114eb3d6b7aa8ad2ff3f751c4619e8b1bc4f9	-	-	-
bin/wasm-ld	regular	0755	18496	22eee89e7f46cd62e6c07935a58b257521f9e5800c26d58a48d3fa3460596832	-	-	-
bin/yaml-bench	regular	0755	416464	127e32223fb1c80c81b9760ed26f3bd041563d8583776f483b0dd68ece5fce7c	-	-	-
bin/yaml2obj	regular	0755	2517848	fcb0328fad645c44e0763380ea76fa68a0423b88793e69ca642a9d91840d77be	-	-	-
include	directory	0755	-	-	-	-	-
include/clang	directory	0755	-	-	-	-	-
include/clang-c	directory	0755	-	-	-	-	-
include/clang-c/BuildSystem.h	regular	0644	5490	86499535ba7be756f76a2afdbe9249aed6ee85229c76832fd5db17480d7f1bf2	-	-	-
include/clang-c/CXCompilationDatabase.h	regular	0644	5228	38207d300ba333f08ef0c4eb75d265e2a85b0dff2376d1687a73f81e6cab4b76	-	-	-
include/clang-c/CXDiagnostic.h	regular	0644	12038	38ebaab016fd4faf9df6d2fc0c7e8dfffd8ae1740ae9126c077063a453b90afe	-	-	-
include/clang-c/CXErrorCode.h	regular	0644	1969	fbcc4225b3dd36e6cb1a90d26472522ccd9fe3d78e65b99d820181c9a624539b	-	-	-
include/clang-c/CXFile.h	regular	0644	2525	5c23551b7a08863501c992bda30d4fcc1b928a6881eca693a82f17b11a739e3c	-	-	-
include/clang-c/CXSourceLocation.h	regular	0644	10396	a1918b043df970ada2540d34cdbe7399f50d2c81bdc3c2cfd2296efc1c67622f	-	-	-
include/clang-c/CXString.h	regular	0644	2257	c82e38b8283c1f9d39ac0637d74f2ef4ead933fc344b880688e5ea2a7f321316	-	-	-
include/clang-c/Documentation.h	regular	0644	18220	5f61b503f4956ca0e5b3ef36149e12ebc13a411fbb2e69ce3e05948fc6a4775c	-	-	-
include/clang-c/ExternC.h	regular	0644	2007	d64d9d58750dc7d240a8c35b3192d8801672200f3df3d6417695ae5e59c12cbc	-	-	-
include/clang-c/FatalErrorHandler.h	regular	0644	1326	e2bc1b7fea90a98752afe4fae4a1d2f9605f5b0098dbdbc04856556a8678663f	-	-	-
include/clang-c/Index.h	regular	0644	221135	c6da7700c03512904ccabe919ce0e1a6f8c358697f4d547d53ef7c7f93d2e9ef	-	-	-
include/clang-c/Platform.h	regular	0644	1828	b2e246692d6cecea2c57aaef424fa9e35cd30a5dfcd4b0521e562fde059aaaa2	-	-	-
include/clang-c/Rewrite.h	regular	0644	2102	3ce45b1fd6f750376e4d23d29455de087f69043e8c14db50ca80a9c68d7fb8c1	-	-	-
include/clang-tidy	directory	0755	-	-	-	-	-
include/clang-tidy/ClangTidy.h	regular	0644	5105	e70222bc624ad693450813b6e67c36fc1e4e7d8d9930fd367e1d7714b7c6e139	-	-	-
include/clang-tidy/ClangTidyCheck.h	regular	0644	22142	25f1e74174e5683b29791420214d40227d51e17497bf0e68c97062d003404986	-	-	-
include/clang-tidy/ClangTidyDiagnosticConsumer.h	regular	0644	13278	c8bb8961963280b7d60101d5b634496061073d0ef9f9b09ca484df5ce56b012a	-	-	-
include/clang-tidy/ClangTidyForceLinker.h	regular	0644	6066	dceb2e61b0a7bf0229c2f1c05267c6e675173fcf7112467710d49e53575633fa	-	-	-
include/clang-tidy/ClangTidyModule.h	regular	0644	3676	63cd8dcc7be50131607e552854623e52504e0b595e30d8d729fcd4d1e8cb2028	-	-	-
include/clang-tidy/ClangTidyModuleRegistry.h	regular	0644	844	768776651ae8e3bb0e83b044c21239096f7ad9c3a3497cb941b220459c5fa2a0	-	-	-
include/clang-tidy/ClangTidyOptions.h	regular	0644	14578	96ee969aaa29ea1f58a1f0c8690eb4915d50e70d74a605b0de33c6b36a008687	-	-	-
include/clang-tidy/ClangTidyProfiling.h	regular	0644	1504	b7409a955d9bef8e370dd7b905e271b184222f3d8aa7c72d44892f670d077c97	-	-	-
include/clang-tidy/ExpandModularHeadersPPCallbacks.h	regular	0644	6225	104c4f7333f07880d05a1f2f78525c2fbc989d065faba2eba4f85013cd42b59a	-	-	-
include/clang-tidy/FileExtensionsSet.h	regular	0644	737	66bde42368130567e81ce7293f538df04149afd14fa4370786575f219c8ab236	-	-	-
include/clang-tidy/GlobList.h	regular	0644	2202	3d5638ff4db7caeca7f3261494538ff84efc8ef7aad32785b1d53009b07e8be7	-	-	-
include/clang-tidy/NoLintDirectiveHandler.h	regular	0644	1587	a4ecdc34355ef121b0101b7a6933626932e8f8e3ace8b0dfd6defe1b4e67f822	-	-	-
include/clang-tidy/abseil	directory	0755	-	-	-	-	-
include/clang-tidy/abseil/AbseilMatcher.h	regular	0644	2471	a3bfb373385df520f98bf448a00055a18a056b634e27dd7642d3e7cdd1fb87b4	-	-	-
include/clang-tidy/abseil/CleanupCtadCheck.h	regular	0644	1257	c0e49943e6018aad73f162a33fc68bda5dd68f6220629923eddaf0c45d14b309	-	-	-
include/clang-tidy/abseil/DurationAdditionCheck.h	regular	0644	1346	9ac1a96ffd5fcd5edfed64c30b440510dc2c2fe2a03a27980c84383b0de7f9d1	-	-	-
include/clang-tidy/abseil/DurationComparisonCheck.h	regular	0644	1354	55e5d1b497554c73f4d2e7bf9c06f6f755adc0835879607ad74e936801411d07	-	-	-
include/clang-tidy/abseil/DurationConversionCastCheck.h	regular	0644	1416	7c9916bae897a905d59fb0b36c3004c45961e10f778b713182e8c8212ac7ce9e	-	-	-
include/clang-tidy/abseil/DurationDivisionCheck.h	regular	0644	1269	3b92cb0c767d77d433ac1631f98978db9b6cffb35d4d64d35443a545f2631a83	-	-	-
include/clang-tidy/abseil/DurationFactoryFloatCheck.h	regular	0644	1524	0f9bc953b658334194d437bd834936840c1c6a266dfa937b8cf1be18e7c662df	-	-	-
include/clang-tidy/abseil/DurationFactoryScaleCheck.h	regular	0644	1561	3f793fa5a1f921772dea29ccec1f283e44943ba225b7e87588a9740a30ea6780	-	-	-
include/clang-tidy/abseil/DurationRewriter.h	regular	0644	6113	90697b9cea1800836f9fb9903177502c3d042789ee88acf96f38864a9946c147	-	-	-
include/clang-tidy/abseil/DurationSubtractionCheck.h	regular	0644	1369	fd84e3e1be1e1457a52494a97c8c8ab1b89c0ce97183aa2aab7bc9f4ad108c2b	-	-	-
include/clang-tidy/abseil/DurationUnnecessaryConversionCheck.h	regular	0644	1450	7c1e27176251a0e99c52d3307ce1cf8e29f6f8a89ec6641d6dc47b9c3ea7322c	-	-	-
include/clang-tidy/abseil/FasterStrsplitDelimiterCheck.h	regular	0644	1455	b3eaef2a527a9cecadb43cf442039b513c3a24880a87e7d1f043c1110d959938	-	-	-
include/clang-tidy/abseil/NoInternalDependenciesCheck.h	regular	0644	1393	c79b32fe90f153f9d305d7cecb6fd67f25ecee03e5858d683938353295e6b090	-	-	-
include/clang-tidy/abseil/NoNamespaceCheck.h	regular	0644	1338	538bb27788e58222f3d9e551ca62762621796703063416a0399ba174a587ff82	-	-	-
