sequence	commit_id	subject	mechanism	legacy_patches	depends_on	order_after	evidence_depends_on	future_profile	kernel_lanes	checkpoint	side_effect_class	profile_exception	exception_basis	expected_driver_tree	expected_manifest	expected_manifest_sha256	effect_bundle	rationale
11	M11	rs480: add force-clock register probes	force-clock-register-probes	0025,0029,0030,0031,0032,0033,0034,0035,0037	M04	M09	none	mutate-dev	6.18,7.1	none	hardware-control-write	none	none	c4e2b9288261c490545213b3c7250ceba4e3e35d	migration/expected-prefixes/mechanism/M11.manifest.tsv	e0d609f654b89dde1f7c817b4302f4aa26c5b5ff5e7eecc1df1cce56b7dea56a	migration/reconstruction-effects/mechanism/M11.patch	Each probe writes and restores clock-control state around one read.
12	M12	rs480: add R400-US CS allowlist	r400-us-command-allowlist	0021	B14	M11	none	mutate-dev	6.18,7.1	none	command-policy-mutation	none	none	07d9700aa648a2fecc6f3b8b0e7051a2d05c54e6	migration/expected-prefixes/mechanism/M12.manifest.tsv	ee83d68e8bf1dc997f870365829dccbae6dded33ebc8c28366e8da86ac14d66e	migration/reconstruction-effects/mechanism/M12.patch	The gate changes command-stream validation policy.
13	M13	radeon: add RS4xx panic breadcrumb	panic-breadcrumb	0027	B14	M12	none	prod	6.18,7.1	none	telemetry	none	none	ebbc5e0b92ab509b03bc8b64c3cf845d53883b16	migration/expected-prefixes/mechanism/M13.manifest.tsv	537213408d2bd701227956ee7c14711ff09ff183e4196fdf4f97311d2be9ae98	migration/reconstruction-effects/mechanism/M13.patch	The notifier records reset evidence without changing the hardware path.
14	M14	r300: skip discrete MC wait on IGP	igp-mc-idle-wait	0036	B14	M13	none	prod	6.18,7.1	none	software-state	none	none	a83f127632d88178c89f686125a4d2edc82b48fd	migration/expected-prefixes/mechanism/M14.manifest.tsv	7616a12249ab0bf737a0be29ebeb9b45bdffc8438cc39891145bb9e41ed04e02	migration/reconstruction-effects/mechanism/M14.patch	The production IGP path omits a discrete-only wait.
15	M15	rs480: add CP scratch oracle	cp-scratch-oracle	0039	M04	M14	none	mutate-dev	6.18,7.1	none	command-submission	none	none	73e8429d02b2e492405006bdc2d28561a168cb1f	migration/expected-prefixes/mechanism/M15.manifest.tsv	fa409c4ea895c283bce12515655ce9f55231a14a503c3422d5ab21f679c04b3c	migration/reconstruction-effects/mechanism/M15.patch	The IB self-test submits a scratch-register write and readback.
16	M16	r300: force clocks during RS4xx reset	rs4xx-reset-clock-control	0043	M14	M15	none	prod	6.18,7.1	none	hardware-control-write	production-correctness	RS4xx production reset requires readable engine state	b6a47d52aa3b03d48bbee84659aa14c364461c8f	migration/expected-prefixes/mechanism/M16.manifest.tsv	4ef7dd52dc3e1dae42fb894072561255c39379c20d227975ae3be40d920f3969	migration/reconstruction-effects/mechanism/M16.patch	The production reset path holds required clocks through reset.
17	M17	radeon: bound RS4xx reset-state readback	bounded-reset-state-readback	0003,0045	B14	M16	none	prod	6.18,7.1	none	direct-mmio-read	none	none	6baaf7546c47535798de6d281875425b6e976028	migration/expected-prefixes/mechanism/M17.manifest.tsv	bc12add60af561542d54c717b83f34c9c6fe08ade841154ca5d04a22f3fb1686	migration/reconstruction-effects/mechanism/M17.patch	Final reset telemetry gates wedge-prone 3D readback behind bounded state.
18	M18	radeon: block parked hardware entry	parked-hardware-entry-guards	0049,0051,0055,0061,0062,0071	M01,M03,M05,M06,M07,M08,M09,M10,M11,M15,M16,M17	M17	none	prod	6.18,7.1	none	software-state	containment	gpu_parked is zero from devm_drm_dev_alloc kzalloc before latent guards execute	8a9133b776b8a71de3a66a802d91999efbb27dca	migration/expected-prefixes/mechanism/M18.manifest.tsv	a8e78623d03bc322458ef198963dd070cdfe75c54bb1dd50ca21d132e270296f	migration/reconstruction-effects/mechanism/M18.patch	Existing hardware entry points hard-return before M21 can set gpu_parked.
19	M19	radeon: quiesce parked display work	parked-display-guards	0050,0058,0071	M18	M18	none	prod	6.18,7.1	none	software-state	containment	display and asynchronous entry points return before hardware access	edff6cd36904c71e18fa0663eb35d03cbb4b4502	migration/expected-prefixes/mechanism/M19.manifest.tsv	53611c7b5446bc980bc983ac7df5a2556d2d254049100e7b9a6be78c748b0ac4	migration/reconstruction-effects/mechanism/M19.patch	Display, IRQ, cursor, connector, and polling entries become latent guards.
20	M20	radeon: contain parked memory faults	parked-memory-containment	0052,0053,0054,0059,0060,0069,0070	M18	M19	none	prod	6.18,7.1	none	software-state	containment	VRAM mappings and object teardown remain CPU-contained after parking	b35a7dae6e3276f0af043373f8147c9f684be171	migration/expected-prefixes/mechanism/M20.manifest.tsv	c059d14d2e134f93dc9266b2ad217db6f74add5a8fd1c662a4ea6dcf82ce5ec3	migration/reconstruction-effects/mechanism/M20.patch	GEM, TTM, fbdev, mmap, fault, and placement paths gain latent containment.
21	M21	radeon: park failed RS4xx GPUs	parked-state-activation	0046,0047,0048,0049,0051,0056,0057,0058,0060,0071	M16,M17,M18,M19,M20	M20	none	prod	6.18,7.1	none	hardware-control-write	containment	failed RS4xx reset activates preinstalled containment and quiesces workers	25c63f499fe62ae51278cc2dc55a10daf25b7df6	migration/expected-prefixes/mechanism/M21.manifest.tsv	f2f0d9b5725cc1c97d740a3c265dcb584b54c7aba5b1c3878ff4f8e6a65902a7	migration/reconstruction-effects/mechanism/M21.patch	One reset-failure transition sets gpu_parked after every existing guard is installed.
22	M22	rs480: add reset recovery probes	reset-recovery-probes	0040,0041,0042,0044	M04,M16,M17,M18,M21	M21	none	mutate-dev	6.18,7.1	none	reset-execution	none	none	258990edd6cfc86f4da6f449e2bee57697aae7ac	migration/expected-prefixes/mechanism/M22.manifest.tsv	d2b4adafa5c9273d37fc8dbcdb8e5c136be4d6a28bb4faf85375de2ae084dd31	migration/reconstruction-effects/mechanism/M22.patch	Development probes enter after activation with the established parked refusal on every hardware path.
23	M23	r300: add one-shot RS4xx reset masks	one-shot-reset-mask-selection	0063,0064,0065,0066,0067,0068	M16,M21	M22	none	mutate-dev	6.18,7.1	none	reset-execution	none	none	8dfdb3b0ada0ed2a2e92232262a65fd44904919a	migration/expected-prefixes/mechanism/M23.manifest.tsv	d5f80c50b3d431089a5a921541995238011a02766b1bcc61d03524f2cf91f10a	migration/reconstruction-effects/mechanism/M23.patch	Atomic one-shot selection changes the reset mask for one execution.
24	M24	rs480: add bounded GART table reader	bounded-gart-table-reader	0072	M04,M18,M21	M23	none	observe-dev	6.18,7.1	mechanism-213	cpu-memory-read	none	none	b0f40a1970f57d00b690890120ad1ba8fd1e474c	migration/expected-prefixes/mechanism/M24.manifest.tsv	71ae424fc8af1828200ec98e9233b646c6483c11ecfb778d91ec64ef6bf9f5dc	migration/reconstruction-effects/mechanism/M24.patch	The reader walks bounded CPU page-table memory and honors parked containment.
